,source_taxon_name,latitude,longitude,ISO_A2,NAME_ES,searched_taxon_name,target_taxon_name,country_name,Estatus.Taxonómico,Nombre.Válido,Autoridad,Rango.Taxonómico,Familia,Forma.biológica
13859,Xylocopa sonorina,33.70639038,-116.2666702,US,Estados Unidos,Duranta erecta,Duranta erecta,Estados Unidos|México,Aceptado,Duranta erecta,L.,Especie,Verbenaceae,Arbusto
13860,Xylocopa sonorina,33.79701667,-116.48217,US,Estados Unidos,Duranta erecta,Duranta erecta,Estados Unidos|México,Aceptado,Duranta erecta,L.,Especie,Verbenaceae,Arbusto
13861,Xylocopa sonorina,34.17972793,-118.0528093,US,Estados Unidos,Duranta erecta,Duranta erecta,Estados Unidos|México,Aceptado,Duranta erecta,L.,Especie,Verbenaceae,Arbusto
13868,Xylocopa sonorina,33.72086333,-116.3361367,US,Estados Unidos,Duranta erecta,Duranta erecta,Estados Unidos|México,Aceptado,Duranta erecta,L.,Especie,Verbenaceae,Arbusto
13870,Xylocopa sonorina,32.718005,-117.2443083,US,Estados Unidos,Duranta erecta,Duranta erecta,Estados Unidos|México,Aceptado,Duranta erecta,L.,Especie,Verbenaceae,Arbusto
13904,Xylocopa sonorina,38.00019722,-121.72605,US,Estados Unidos,Echeveria,Echeveria,Estados Unidos,Aceptado,Echeveria,DC.,Género,Crassulaceae,Arbusto|Herbácea
14399,Xylocopa sonorina,37.24567442,-121.8730029,US,Estados Unidos,Echium,Echium,Canadá|España|Estados Unidos|Grecia|Portugal|Turquía,Aceptado,Echium,L.,Género,Boraginaceae,Herbácea
14409,Xylocopa sonorina,37.34570571,-122.0226081,US,Estados Unidos,Echium,Echium,Canadá|España|Estados Unidos|Grecia|Portugal|Turquía,Aceptado,Echium,L.,Género,Boraginaceae,Herbácea
14411,Xylocopa sonorina,37.91632,-122.0694667,US,Estados Unidos,Echium,Echium,Canadá|España|Estados Unidos|Grecia|Portugal|Turquía,Aceptado,Echium,L.,Género,Boraginaceae,Herbácea
14455,Xylocopa sonorina,37.24577967,-121.8730345,US,Estados Unidos,Echium,Echium,Canadá|España|Estados Unidos|Grecia|Portugal|Turquía,Aceptado,Echium,L.,Género,Boraginaceae,Herbácea
